Partition #1019 -> Partition (NTFS, ??? b, 12 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 58152904, MFT mirror offset: None)
Partition #1037 -> Partition (NTFS, ??? b, 32 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 361792672, MFT mirror offset: None)
Partition #1055 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 33375616, MFT mirror offset: None)
Partition #1076 -> Partition (NTFS, ??? b, 353 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 32156992, MFT mirror offset: None)
Partition #1080 -> Partition (NTFS, ??? b, 905 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 49925880, MFT mirror offset: None)
Partition #1081 -> Partition (NTFS, ??? b, 2446 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 45092752, MFT mirror offset: None)
Partition #1093 -> Partition (NTFS, ??? b, 28 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 30674888, MFT mirror offset: None)
Partition #1097 -> Partition (NTFS, ??? b, 196 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 58026432, MFT mirror offset: None)
Partition #1115 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 207057344, MFT mirror offset: None)
Partition #1134 -> Partition (NTFS, ??? b, 80 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 402247424, MFT mirror offset: None)
Partition #1140 -> Partition (NTFS, ??? b, 189 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 50073744, MFT mirror offset: None)
Partition #1144 -> Partition (NTFS, ??? b, 47 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 263590048, MFT mirror offset: None)
Partition #1147 -> Partition (NTFS, ??? b, 35 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 255568992, MFT mirror offset: None)
Partition #1149 -> Partition (NTFS, ??? b, 8 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 26215112, MFT mirror offset: None)
Partition #1205 -> Partition (NTFS, ??? b, 51 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 389293536, MFT mirror offset: None)
Partition #1206 -> Partition (NTFS, ??? b, 4 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 28053880, MFT mirror offset: None)
Partition #1208 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 292557184, MFT mirror offset: None)
Partition #1213 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 207078304, MFT mirror offset: None)
Partition #1219 -> Partition (NTFS, ??? b, 769 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 33131224, MFT mirror offset: None)
Partition #1237 -> Partition (NTFS, ??? b, 62 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 48763376, MFT mirror offset: None)
Partition #1245 -> Partition (NTFS, ??? b, 489 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 6427152, MFT mirror offset: None)
Partition #1255 -> Partition (NTFS, ??? b, 32 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 239891648, MFT mirror offset: None)
